"Countries","Adult_Literacy","Internet_Users","GDP_Per_Capita","Immunization_DPT_Children","Prevalence_HIV","Population_Growth_Annual","Infant_Mortality_Rate","School_Enrollment","High_Tech_EXP","Unemployment_Female","Urban_Population_Total"
"Latin America & Caribbean","92.87993","48.6168531054745","10278.2408909878","88.2706025071067","0.513403028317184","1.10768163490471","15.9","108.96343","11.2034296839035","7.33310715469247","20.3652072815457"
"Least developed countries: UN classification","61.68538","10.3984046242636","1038.05231148119","78.1050283877126","2.02048472618713","2.42281224269784","51.5235292995891","102.45594",NA,"6.27448294729228","68.530694820341"
"Low income","59.2793","8.97929345670781","834.779256676144","74.8095565580591","2.95985418307211","2.57296303687404","53.1","101.56225",NA,"6.37043301546889","68.7980512504305"
"Liechtenstein",NA,"95.21","179308.075615568",NA,NA,"0.79231360522745",NA,"102.66099",NA,NA,"85.687"
"Sri Lanka",NA,"25.8","3820.54064998739","99","0.1","0.899512787210326","8.5","101.24334","0.907765064565764","7.30200004577637","81.782"
"Lower middle income","75.36975","22.6011122052895","2063.06391209794","79.4396311354163","0.624114661398133","1.48665733577604","40.9","103.92902","11.3528909967043","5.10049040441842","61.4512996225624"
"Low & middle income","82.96363","32.0608779868218","4658.30337991434","83.0726304794767","1.13037884492191","1.31639020909684","35.1624357223075","103.07711","17.8521363299366","5.44285260702631","52.1303866778211"
"Lesotho","76.6352","22","1218.46610643407","93","23.5","1.33349508542395","70.9","106.324",NA,"27.4009990692139","73.498"
"Late-demographic dividend","95.55239","50.9098012062194","8807.09026716713","97.3607789951961",NA,"0.619958002091465","11.1652375716144","102.06338","19.162275056113","4.75322494825703","41.0621363145431"
"Lithuania",NA,"72.13","16545.1226673996","93","0.1","-0.859827343070249","4","101.57557","10.1357504689213","9.22500038146973","32.892"
"Luxembourg",NA,"94.67","119225.380022773","99","0.2","2.35697870484045","2.2","97.11412","5.70360125769017","5.76599979400635","10.116"
"Latvia",NA,"75.83","15716.3690672011","92",NA,"-0.941743354234222","4.7","99.8206","15.0458088923087","9.83699989318848","32.048"
"Macao SAR, China",NA,"69.78","94004.3898288491",NA,NA,"2.22227169495604",NA,"100.89144","0.163745252402179","1.4559999704361","0"
"St. Martin (French part)",NA,NA,NA,NA,NA,"0.847219769659737",NA,NA,NA,NA,NA
"Morocco",NA,"56.8","3154.51348420947","99","0.1","1.44790425119677","22.9","109.67567","5.3138369362681","10.1800003051758","39.744"
"Monaco",NA,"92.4","185152.527227439","99",NA,"0.423111415291069","2.9",NA,NA,NA,"0"
"Moldova",NA,"67","2244.75530830835","90","0.5","-0.0609701011007674","14","93.06422","4.8067740842113","3.10400009155273","57.504"
"Madagascar",NA,"3.7","452.463192574895","73","0.2","2.70109745083855","36.1","145.24914","0.571462588123651","1.23599994182587","65.466"
"Maldives","98.61012","49.28","9056.65343979878","99",NA,"2.69366023648438","8",NA,NA,"6.10200023651123","61.894"
"Middle East & North Africa","78.48583","40.2402167124595","8473.74622806702","87.9226536614721",NA,"1.95592113388206","20.6","103.82229","4.61683137345716","18.3278637676825","36.1454084303986"
"Mexico","94.55588","44.39","10582.4105262309","87","0.3","1.36624560463928","13.2","105.17832","15.9921956045596","4.86800003051758","21.007"
"Marshall Islands",NA,"16.8","3461.7811637491","78",NA,"0.198692480048187","30",NA,NA,NA,"24.616"
"Middle income","85.05551","34.8605599137774","5142.30105938755","84.9350097559689","0.888223035500332","1.1596628640626","30.8886114874937","103.40661","17.9620805246718","5.31320105133281","50.0217348511323"
"Macedonia, FYR",NA,"68.06","5469.21789842179","95","0.1","0.084560614915291","10","91.40527","3.09948975668456","28.617000579834","42.716"
"Mali",NA,"7","845.720640984484","66","1.3","2.90103100869125","71","76.98236",NA,"6.23999977111816","60.804"
"Malta",NA,"73.17","25811.8780046703","99",NA,"1.9967544083193","5.8","101.89638","34.4130283265583","5.32299995422363","5.65300000000001"
"Myanmar",NA,"11.52","1260.418503807","88","0.7","0.920921765027","42.5","101.87261","0.606296651702731","0.912000000476837","70.35"
"Middle East & North Africa (excluding high income)","75.51625","34.8392581629025","4426.7138979302","86.7869280407821","0.104512491896481","1.81506148509985","22.2782156745161","102.67514",NA,"20.1981602977978","39.8742992674876"
"Montenegro",NA,"61","7378.34102152704","91","0.1","0.0970220113323688","4.2",NA,NA,"18.2390003204346","34.529"
"Mongolia",NA,"19.9424474349209","4181.5833128422","99","0.1","1.89161420109324","16.9","101.86889","19.5095054680893","4.47100019454956","31.837"
"Northern Mariana Islands",NA,NA,"15513.6961151502",NA,NA,"0.796288215489398",NA,NA,NA,NA,"8.727"
"Mozambique",NA,"9.236314896","623.286753930288","79","13","2.90069572870848","58.9","105.4678","5.63488024133134","27.1340007781982","66.122"
"Mauritania",NA,"10.7","1326.66865421644","81","0.5","2.94025367689978","57","97.1463799999999",NA,"12.8100004196167","49.797"
"Mauritius","92.47476","44.8032753683379","10153.9382184867","97",NA,"0.181061469451535","13","102.44635","0.0232694126490114","11.335000038147","58.889"
"Malawi","65.14537","5.83","354.318989805753","91","10.3","2.92294017355582","44.1","142.23352","2.52430852860742","6.99200010299683","83.868"
"Malaysia",NA,"63.6654258813225","11183.729432082","97","0.4","1.73957920597507","6.4","104.58289","43.874046652832","3.22499990463257","26.423"
"North America",NA,"74.4268352717389","54295.3424183322","94.6427887410013",NA,"0.788482346869017","5.8","99.84405","17.3286832771915","6.09834036502782","18.5401794323882"
"Namibia",NA,"14.84","5392.71242089285","88","12.6","2.3242373421871","36.1",NA,"2.68086362234699","20.3199996948242","54.174"
"New Caledonia","97.8","70",NA,NA,NA,"1.65510642970682",NA,NA,"13.0548203618819","15.6470003128052","31.069"
"Niger",NA,"1.24867568902241","429.790957778857","75","0.4","3.84268093441677","53.5","69.7914399999999","57.1481530503223","0.238000005483627","83.781"
"Nigeria",NA,"21","3221.67811590831","43","2.9","2.65955070115917","71","90.0574199999999","2.10433253043673","4.08799982070923","53.018"
"Nicaragua",NA,"17.6","1975.46470748978","98","0.2","1.14134116727036","16.4",NA,"0.385908705339625","5.61399984359741","42.3"
"Netherlands",NA,"91.666666","52157.4068701887","96","0.2","0.359828172726548","3.5","102.42479","19.9018385836006","7.75699996948242","10.31"
"Norway",NA,"96.3","97199.9190963458","93","0.1","1.12773667734928","2.3","99.83147","20.7379774262997","3.22699999809265","19.308"
"Nepal",NA,"15.44","706.238697681072","92","0.2","1.20029747230758","31.2","134.75446","0.173122492958926","2.5460000038147","81.818"
"Nauru",NA,NA,"9872.63831364996","95",NA,"9.10923095078517","29.4","105.76408",NA,NA,"0"
"New Zealand",NA,"85.5","44560.6403694048","93","0.1","1.51033948544577","4.7","97.61998","9.11055074796012","6.07999992370605","13.719"
"OECD members",NA,"73.8900054091998","38776.5708497416","94.336519130082",NA,"0.665046907362509","6.30920882607956","102.12848","16.7427596312358","7.45810323293013","20.1804658089652"
"Oman","91.9812","70.22","20469.1386524373","99",NA,"6.50465955097181","9.6","110.41774","4.32785647422481","12.003999710083","19.855"
"Other small states","82.67978","39.7137343536176","15573.5914168044","86.0323452927187","7.98967282583933","2.20558468933363","41.3604903816837","104.80774","4.58274538793713","14.0018812816532","40.543418763399"
"Pakistan","56.97715","12","1316.98096583434","69","0.1","2.08779242867002","66.4","93.24638","1.41368704031748","2.02900004386902","64.181"
"Panama",NA,"44.92","12787.3061955961","80","0.9","1.69263169424324","15.3","98.99804","5.45347943339558","6.09299993515015","33.629"
"Peru","93.70795","40.2","6492.05320821897","88","0.4","1.32482977815291","13.1","101.42063","3.83817562499456","3.06900000572205","22.827"
"Philippines",NA,"49.6","2842.93835295221","67","0.1","1.63281924948264","23.3","113.89061","48.9966443324474","3.72099995613098","53.907"
"Palau",NA,NA,"11646.6815208116","95",NA,"0.828300065770022","14.5","114.85634","20.1803022764151",NA,"22.483"
"Papua New Guinea",NA,"6.5","2973.27054935779","73","0.9","2.12300259824567","45.7",NA,NA,"1.692999958992","87.012"
"Poland",NA,"66.6","14345.1860569374","98",NA,"-0.0748462292920506","4.3","99.33656","8.69597265946011","9.58800029754639","39.597"
"Pre-demographic dividend","59.2573","12.3479814112254","1840.63652141903","69.891641599373","3.2997391970958","2.94250686007886","58.5508875068189","98.13935",NA,"6.92438181964294","61.0236762360843"
"Puerto Rico",NA,NA,"28981.4573305866",NA,NA,"-1.6331283312239",NA,"88.0133",NA,"11.9670000076294","6.349"
"Korea, Dem. Peopleâ€™s Rep.",NA,NA,NA,"93",NA,"0.520483861451136","17",NA,NA,"3.61800003051758","38.902"
"Portugal",NA,"64.59","22077.5361325219","98","0.6","-0.539190466792077","3","107.6059","4.38063586936397","14.326000213623","37.064"
"Paraguay","94.61672","43","6146.66405510882","93","0.5","1.33420075039613","19.6",NA,"6.13331879590813","6.81699991226196","39.526"
"West Bank and Gaza","96.4283899999999","53.67","2960.77800405245",NA,NA,"2.95799495489124","18.9","95.16964","0.234064749613175","38.5890007019043","24.887"
"Pacific island small states",NA,"24.7368187548259","3777.92721939421","85.7496469451464",NA,"1.27880106693566","21.6592464820699","109.61871","3.00424258474267","5.68128482729234","61.9659734697943"
"Post-demographic dividend",NA,"77.3991187021954","42821.2017390523","92.5241930495264",NA,"0.466037092890147","4.38142049884853","101.22715","17.9405845267139","7.35912954108429","19.4298819946904"
"French Polynesia",NA,"60.68",NA,NA,NA,"0.712555745989082",NA,NA,"14.8185532253212","22.30299949646","38.367"
"Qatar",NA,"91.49","86852.710189198","89","0.1","5.36123596355156","7.1","99.34701","0.0489981703227923","0.990000009536743","1.13200000000001"
"Romania",NA,"54.08","10026.9735781794","94","0.1","-0.374575497762261","8.4",NA,"6.44905814350025","6.09299993515015","46.1"
"Russian Federation",NA,"70.52","14125.9087274272","97","0.9","0.217700100552035","7.8","98.65293","11.4516727325293","4.82100009918213","26.05"
"Rwanda","70.80413","10.6","706.596709795842","98","2.9","2.5007965300158","33","136.44293","11.8991430224597","1.26699995994568","83.033"
"South Asia","69.66934","19.0832762245184","1499.47880728169","83.2913367146254","0.178362331293801","1.32626360298084","41.3","106.49005","7.88562257911246","4.32878597699501","67.6882730639397"
"Saudi Arabia",NA,"64.713657369019","24575.4030378327","98",NA,"2.74137581980351","7.8","118.19778","0.57633540470278","21.6590003967285","17.04"
"Sudan",NA,"24.64","2176.89802874983","94","0.2","2.38118455988502","47","72.67468",NA,"23.3770008087158","66.311"
"Senegal",NA,"17.7","1359.18935082349","89","0.5","2.97087779692571","36.3","84.1501399999999","1.25636650761811","7.18900012969971","54.564"
"Singapore","96.71666","79.0292358633435","56957.0785737742","96","0.2","1.29844017799226","2.1",NA,"47.1824035562881","2.88299989700317","0"
"Solomon Islands",NA,"9","2036.9420559205","77",NA,"2.10557753043035","19.2","113.22919",NA,"2.12700009346008","78.104"
"Sierra Leone",NA,"6.057298984","708.439475708292","83","1.5","2.24393810839476","91.8",NA,"0.0272925599667727","3.82100009918213","59.568"
"El Salvador",NA,"24.7617121459061","3595.7907332513","94","0.6","0.485351774818735","13.9","106.76542","4.71472520503942","3.13499999046326","31.126"
"San Marino",NA,NA,"54766.5130675886","84",NA,"1.08991226700701","2.3",NA,NA,NA,"3.441"
"Somalia",NA,"1.63","485.602061068687","42","0.2","2.85828597763128","86.6",NA,NA,"6.84499979019165","57.321"
"Serbia",NA,"62.0750804639377","6200.17322102474","93","0.1","-0.469489291237153","5.8","101.13116",NA,"20.2840003967285","44.417"
"Sub-Saharan Africa (excluding high income)","63.0425","14.6830400486311","1864.85882461208","71.247688431536","4.37376044929333","2.75889341732704","56.6503712610154","98.38513","3.95769335559214","7.79949845088205","62.0211842834984"
"South Sudan",NA,"4.51615373","1309.48738115369","39","2.6","3.11346113549839","62.5",NA,NA,"13.2279996871948","81.374"
"Sub-Saharan Africa","63.04676","14.6865236009135","1866.05680671136","71.2490256341169","4.37376044929333","2.75878094134121","56.7","98.38594","3.96348932664388","7.79949845088205","62.0195988107329"
"Small states","84.29626","40.4491782986644","13834.9678016893","86.9485148228419","6.64492015358845","1.84750286995543","36.9577592513166","104.39542","4.60512283808434","13.6972989933224","43.4861100312506"
"Sao Tome and Principe",NA,"24.41","1824.37921729398","95",NA,"2.23158997218063","28.1","106.92851","0.77049670855775","21.5279998779297","30.787"
"Suriname",NA,"40.08","9554.56228848744","85","1.3","0.988207603930652","19.2","118.29303","20.7493847806395","11.8959999084473","33.911"
"Slovak Republic",NA,"79.98","18629.7796630086","97","0.1","0.0970454215834878","5.1","99.77968","10.2172240551109","13.6280002593994","46"
"Slovenia","99.7","71.59","24202.4308360444","95","0.1","0.0983519219451147","2","99.14044","5.84072143444127","10.5500001907349","46.443"
"Sweden",NA,"92.52","59180.1989776727","97",NA,"0.992219728591882","2.4","120.86082","13.8815840218901","7.61600017547607","13.753"
"Eswatini",NA,"26.17500573","3379.89649909261","98","28.4","1.84228953374853","46.5","109.07487",NA,"27.2639999389648","76.851"
"Sint Maarten (Dutch part)",NA,NA,NA,NA,NA,"2.90226583447676",NA,NA,NA,NA,"0"
"Seychelles",NA,"51.25470199","14700.3631319351","99",NA,"1.55539570911507","12.4","115.43097","5.61199134126787",NA,"45.031"
"Syrian Arab Republic",NA,"28.09",NA,"43",NA,"-3.10722942472029","14",NA,NA,"37.4879989624023","48.5"
"Turks and Caicos Islands",NA,NA,NA,NA,NA,"1.88794932440652",NA,NA,NA,NA,"8.149"
"Chad",NA,"2.9","1025.99851471508","36","1.4","3.26470636520054","78.4","102.74683",NA,"6.74399995803833","77.628"
"East Asia & Pacific (IDA & IBRD countries)","95.06234","42.0464015786606","6370.64782996502","91.9274393723922",NA,"0.732491731179238","15.6380526318285","102.433","25.6156316274112","3.59826363250659","48.4275179757508"
"Europe & Central Asia (IDA & IBRD countries)","98.87219","57.7917904432631","10265.7776149285","91.0546707340571","0.59573805624539","0.525391516064275","12.9648747982447","100.93275","9.8619630778098","7.41462713570684","34.3452973120342"
"Togo",NA,"5.7","632.0313103591","87","2.5","2.60621232342394","53.3","123.01077","0.154367626167448","1.557000041008","60.421"
"Thailand",NA,"34.89","5953.79392783362","99","1.2","0.400860710627252","9.4","102.03101","20.4314399887848","0.564999997615814","53.057"
"Tajikistan","99.8","17.49","1104.45901890381","97","0.2","2.23624561579731","32.2","95.89454",NA,"11.1859998703003","73.345"
"Turkmenistan","99.7","12.2","7962.36582439665","98",NA,"1.8456805286165","44.4","88.40174",NA,"3.81500005722046","50.079"
"Latin America & the Caribbean (IDA & IBRD countries)","92.72364","48.9456618220403","10194.2062134613","88.1346392607186","0.514020788947989","1.1407119597346","15.994178484178","109.15978","11.2041381388619","7.37450933374557","20.3752234881334"
"Timor-Leste",NA,"17.5","3335.54856721641","77",NA,"2.37356690597733","44.9","121.61613",NA,"4.34499979019165","70.867"
"Middle East & North Africa (IDA & IBRD countries)","75.28407","34.5997764517687","4444.10449836476","86.7869280407821","0.104512491896481","1.8009385401219","22.3350734754792","102.76139",NA,"20.0073029082125","40.0547048012853"
"Tonga",NA,"35.95444145","4196.47059286118","80",NA,"0.43010818993907","14.7","108.03995","2.37489046596501","1.55400002002716","76.672"
"South Asia (IDA & IBRD)","69.66934","19.0832762245184","1499.47880728169","83.2913367146254","0.178362331293801","1.32626360298084","41.3492421113065","106.49005","7.88562257911246","4.32878597699501","67.6882730639397"
"Sub-Saharan Africa (IDA & IBRD countries)","63.04676","14.6865236009135","1866.05680671136","71.2490256341169","4.37376044929333","2.75878094134121","56.6484343549075","98.38594","3.96348932664388","7.79949845088205","62.0195988107329"
"Trinidad and Tobago",NA,"65.1","20081.5219089708","92","1.2","0.462124274131652","25.2",NA,"0.126552616045659","3.92899990081787","46.587"
"Tunisia","79.03643","46.16","4274.29283230237","98","0.1","1.16751285301122","12.5","113.16395","5.48779707668275","21.5139999389648","32.228"
"Turkey","95.4396299999999","51.04","12127.4614576299","96",NA,"1.62719411336179","12.4","106.50633","1.9351516399648","11.7130002975464","26.923"
"Tuvalu",NA,"39.2","3418.64571872645","89",NA,"0.819261727790581","23","113.58913",NA,NA,"41.214"
"Tanzania",NA,"7","950.818302792702","97","4.8","3.10757241505603","42.4","82.62456","2.73666574097581","2.67899990081787","69.096"
"Uganda",NA,"16.9","702.795104025366","85","6.5","3.35065035255058","41",NA,"2.44268756868802","2.49499988555908","78.496"
"Ukraine",NA,"46.2359754571651","3104.65829575449","23","0.9","-0.479615926390299","8.4","99.87748","6.51215662632922","7.52199983596802","31.032"
"Upper middle income","94.55732","48.5633969501183","8624.58071703883","94.0942970516495",NA,"0.792397691121423","13.2","102.56307","19.7036078500167","5.45133045426296","37.1044195196213"
"Uruguay","98.43593","61.46","16737.8982724965","95","0.6","0.338071762249168","8","108.55472","7.92979392849033","8.35900020599365","5.05500000000001"
"United States",NA,"73","54696.7261652327","95",NA,"0.752305212009722","5.9","99.67338","18.229382922769","6.06199979782104","18.517"
"Uzbekistan","99.9805499999999","35.5","2050.44841384558","99","0.2","1.68690035915161","24.3","98.08591",NA,"7.83099985122681","49.15"
"St. Vincent and the Grenadines",NA,"47.4","6654.48400295932","98",NA,"0.0338398645976295","16.5","104.71845","0.323417797811414","19.7689990997314","49.442"
"Venezuela, RB",NA,"57","15692.412877729","78",NA,"1.37753895895118","16.9","100.4884",NA,"7.76200008392334","11.856"
"British Virgin Islands",NA,NA,NA,NA,NA,"1.81438713067385",NA,"97.58785",NA,NA,"53.784"
"Virgin Islands (U.S.)",NA,"50.07","33573.0970301435",NA,NA,"-0.148197574453849",NA,NA,NA,"8.09200000762939","4.78700000000001"
"Vietnam",NA,"41","2012.0462904122","95","0.4","1.13799856517651","17.5","109.20738","26.9315177782514","1.83800005912781","66.885"
"Vanuatu","84.7","18.8","3148.3651032298","86",NA,"2.22981472484446","24",NA,NA,"6.04300022125244","75.139"
"World","85.80934","39.7719529967186","10890.5165812796","84.3207306346154","0.8","1.1994940206521","32.2","102.99933","17.103413612537","5.8744774371083","46.5367001608419"
"Samoa",NA,"21.2","4187.23059850884","81",NA,"0.800428242355048","15.2","106.02638","1.67064114736712","10.4139995574951","80.851"
"Kosovo",NA,NA,"4054.72133937609",NA,NA,"-0.126169138215933",NA,NA,NA,NA,NA
"Yemen, Rep.",NA,"22.55","1647.03365674887","73",NA,"2.58590538315139","43.2",NA,"1.20914096156856","26.1280002593994","65.835"
"South Africa","94.1399","49","6429.02394967082","77","18.7","1.4259250442763","32.5","98.4859","5.91675539585431","27.0400009155273","35.688"
"Zambia",NA,"19","1738.08820161939","86","12.1","3.04021077215453","46.3",NA,"1.70407091359869","8.42700004577637","58.618"
"Zimbabwe","88.69342","16.3647399572904","1264.98382557379","91","14.2","2.34479907008461","42.3",NA,"1.71449246926381","5.81799983978271","67.496"
